id1	id2	is_similar
62319851	62320193	True
62344794	62344784	True
62138837	62286102	False
62129445	62476296	False
62466063	62465825	True
62378560	62178825	False
62254578	62254681	True
62090296	62340062	False
62392819	62261799	False
62110515	62401329	False
62131835	62132222	True
62379114	62378594	True
62090753	62217245	False
62430032	62321348	False
62407536	62381822	False
62431958	62431746	True
62177977	62386813	False
62109312	62096348	False
62421922	62177446	False
62298589	62472297	False
62273622	62434979	False
62459670	62461170	True
62448139	62018307	False
62297495	62069806	False
62322526	62272333	False
62326976	62335569	False
62028939	62029187	True
62497893	62273005	False
62116528	62018170	False
62162487	62025705	False
62294572	62361524	False
62126429	62433661	False
62138294	62299640	False
62236780	62255166	False
62108715	62254659	False
62085242	62231833	False
62428803	62484675	False
62099963	62444534	False
62475893	62436787	False
62089681	62491610	False
62132222	61989336	False
62137921	62355847	False
62188716	62120631	False
62311321	62292575	False
62448918	62271679	False
62424322	62107915	False
62105745	62063861	False
62131608	62447205	False
62480969	62304631	False
62038547	62038460	True
62310754	62309883	True
62070118	62327674	False
62123218	62442938	False
62288796	62088245	False
62188775	62436588	False
62488451	62443004	False
62161175	62161580	True
62396506	62227969	False
62055697	62197427	False
62005758	62327338	False
62330008	62098012	False
62420328	62009216	False
62370604	62431342	False
62323301	62341520	False
62252523	62323327	False
62468836	62468735	True
62071147	62192867	False
62107486	62017221	False
62329426	62327093	True
62129244	62178878	False
62127155	62450237	False
62136397	62406809	False
61989679	62441268	False
62198790	62435432	False
62142593	62367340	False
62426226	62426655	True
62266011	62371103	False
62344012	62476392	False
62238541	62208050	False
62495401	62357434	False
62431629	62431481	True
62224019	62224097	True
62196262	62203924	True
62374659	62375458	True
62023369	62209248	False
62490685	62229670	False
62052706	62054243	True
62486192	62028349	False
62307814	62307450	True
62056759	62021903	False
62440989	62275165	False
62243935	62473057	False
62264028	62452273	False
62063210	62482258	False
62481380	62435777	False
62473602	62090900	False
62019999	62053697	False
62474448	62474575	True
62147183	62284457	False
62139055	62192092	False
62409542	62413846	True
62442521	62101016	False
62331437	62348146	False
62120658	62117721	True
62222590	62221090	True
62448045	62448133	True
62178627	62287981	False
62229673	62351912	False
62208794	62208563	True
62307873	62360306	False
62298692	62454153	False
62464406	62232454	False
62415983	62228059	False
62243288	62238360	True
62470404	62476076	False
62368783	62477565	False
62038803	62292350	False
62326859	62063861	False
62255677	62255594	True
62130090	62094138	False
62121985	62425828	False
62283804	62284489	True
62089527	62475453	False
62318900	62388241	False
62328203	62425461	False
62423570	62261629	False
62425079	62027090	False
62390107	62400426	False
62089644	62033063	False
62271952	62024279	False
62192867	62190062	False
62433943	62432060	True
62037747	62272061	False
62454847	62461170	True
62328444	62483616	False
62469722	62112645	False
62216108	62296777	False
62037093	62054437	False
62450841	62417631	False
62028379	62028444	True
62107767	62108314	True
62311862	62270195	False
62105838	62276836	False
62219807	62217208	True
62476239	62475235	True
62442295	62082517	False
62106486	62106560	True
62452324	62215353	False
62431757	62188484	False
62385942	62386785	True
62476277	62493833	False
62327520	62494389	False
62107768	62037747	False
62500204	62082536	False
62259201	62294052	False
62223674	62418596	False
62342556	62341901	True
62106261	62244983	False
62326366	62326383	True
62081124	62344003	False
62220916	62222266	True
62024141	62428745	False
62188851	62186808	True
62470824	62049375	False
62216917	62277469	False
62263234	62259281	True
62129590	62330359	False
62428619	62462010	False
62299723	62327018	False
62411273	62202554	False
62475059	62295253	False
62420829	62419585	True
62038772	62407201	False
62428803	62066863	False
62354542	62237584	False
62059449	62442233	False
62125627	62125507	True
62442153	62441846	True
62069818	62069590	True
62268321	62474583	False
62499067	62299768	False
62100051	62353985	False
62423909	62130966	False
62104024	62448145	False
62284005	62469171	False
62161467	62439865	False
62045662	62002041	False
62233614	61997277	False
62050465	62049274	True
62436744	62019150	False
62113161	62108314	True
62287345	62294910	True
62274727	62054497	False
62359364	62032443	False
62101364	62474416	False
62123877	62366221	False
62220530	62218474	True
62145494	62272141	False
62299768	62218051	False
62259584	62400324	False
62437374	62099958	False
62201560	62426184	False
62448214	62426960	False
62295945	62435102	False
62333878	62499065	False
62005425	62120580	False
62255958	62255638	True
62476952	62445767	False
62299469	62336945	False
62065075	62088615	False
62106241	62425973	False
62132136	62023216	False
62425089	62104921	False
62489070	62306652	False
62307726	62296309	False
61987988	62097913	False
62326354	62326464	True
62309880	62025189	False
62478617	62478214	True
62287910	62049903	False
62473602	62198170	False
62473756	62108279	False
62075006	62075226	False
62331852	62127716	False
62382990	62223386	False
62435346	62099764	False
62481528	62485657	True
62382745	62440353	False
62050833	62283530	False
62423227	62019223	False
62049206	62188868	False
62442179	62271878	False
62351875	62350187	True
62497300	62021420	False
62350667	62060438	False
62260973	62098521	False
62436175	62174751	False
62445255	62238393	False
62109418	62330359	False
61996602	62280049	False
62331565	62105309	False
62047473	62300048	False
62354439	62457186	False
62436144	62438527	True
62431937	62468085	False
62243660	62243342	True
62108417	62108416	True
62355380	62340062	False
62235648	62235855	True
62328823	62395450	False
62433748	62160459	False
62052986	62337174	False
62041588	62106540	False
62116222	62356156	False
62122296	62268699	False
62327642	62313177	False
62480094	62499067	True
62439694	62117299	False
62444342	62442536	False
62217133	62243214	False
62474974	62380455	False
62440954	62326481	False
62459587	62459095	True
62427270	62018883	False
62439281	62107596	False
62132692	62130778	False
62055170	62054955	True
62126448	62023276	False
62287542	62296900	True
62035855	62354606	False
62250599	62253625	False
62131512	62131404	True
62342857	62239497	False
62188219	62379216	False
62454727	62478218	False
62313951	62408988	False
62350507	62208625	False
62243381	62425737	False
62118014	62136632	False
62474307	62113797	False
62193738	62193468	True
62290794	62209815	False
62431777	62325020	False
62471000	62063721	False
62079682	62298335	False
62467825	62267876	False
62052606	62314343	False
61998407	62216231	False
61987214	62255551	False
62461234	62100209	False
62486722	62182542	False
62039716	62292350	False
62059013	62434060	False
62038475	62432524	False
62208269	62206825	True
62060347	62310190	False
62032361	62028394	True
62330422	62332755	True
62052651	62091209	False
62244394	62425737	False
62358973	62011306	False
62103930	62328257	False
62270432	62191380	False
62123838	62258050	False
62024442	62038859	False
62375179	62376995	True
62268260	62190062	False
62023262	62023209	True
62263291	62258689	True
62327401	62428857	False
62052488	62099351	False
62469633	62239894	False
62484499	62484362	True
62125945	62118534	True
62123089	62124695	True
62239506	62286996	False
62343984	62499076	False
62326590	62326819	True
62160988	62370156	False
62243616	62259755	False
62433873	62399901	False
62254990	62255390	True
62139129	62380027	False
62426184	62076524	False
62358973	61987390	False
62311386	62310732	True
62375179	62262280	False
62073490	62073493	True
61998827	62079705	False
62199341	62292873	False
62314078	61983502	False
62450237	62369472	False
62165800	62170682	True
62096480	62095264	True
62422953	62411385	False
62041421	62175331	False
62067330	62353815	False
62357208	62361524	True
62440243	62441974	True
62132726	62131608	True
62043618	62043432	True
62331123	62137357	False
62174751	62322222	False
62382680	62235648	False
62329974	62090678	False
62238686	62420696	False
62380702	62208976	False
62093518	62198145	False
62101872	62104921	True
62405578	62489945	False
61989764	62077811	False
62492411	62105859	False
62117342	62119036	True
62085732	62424397	False
62417681	62282416	False
62231477	62225704	True
62471143	62130052	False
62015335	62474080	False
62500808	62500057	True
62418703	62071398	False
62131462	62269556	False
62018883	62018477	True
62339563	62259351	False
62448214	62441394	False
62400033	62397297	True
62089878	62327092	False
62292350	62062146	False
62378016	62378560	True
62260075	62260216	True
62008928	62379855	False
