category	id	price	product_id	ranking	text	lang
Холодильники	19618781	17999	17033180	5	"Рекомендую!
Достоинства:Якість в усіх деталях. Зручна ергономіка. Тихий. Сигналізація відкритих дверей та критичного падіння температури. Окреме розподілення температур холодильника та морозильника. Три окремі зони свіжості. Якісне освітлення.
Недостатки:Маркий. Видно усі дотики"	uk
Холодильники	22550721	15499	14931374	5	"Дуже крутий холодильник. Саме таким він і має бути, якісна річ. Жодного разу нічого не пропало з продуктів. Нульова камера - просто знахідка. Доплатити за неї точно варто!! Однозначно рекомендую.
Достоинства:Великий об'єм холодильної і морозильної камер, дуже хороша якість пластику, скляні полиці, No Frost без льоду в морозильній камері, дисплей. Самий головний ПЛЮС цієї моделі - нульова зона, справді нульова, дуже хороша штука для м'яса, сиру, риби, навіть ягоди літом і ті зберігати можна довго.
Недостатки:Немає годинника на дисплеї, трохи шумить (повністю безшумних не вигадали ще)"	uk
Холодильники	26683079	15499	14931374	4	"Мій ріст 187 см і щоб відкрити дверку холодильника приходится кожний раз пригинатися (так як мені влом нагинатися то постійно відкриваю за верхню частину дверки і на ній постоянно мої відбитки пальців), нема куда поставити наприклад 3л банку с помідорами (тупо не влазить по висоті)
Достоинства:Тихий,з своїми задачати справляєтся на всі 100%
Недостатки:Низько розташована ручка відкривання холодильника, мала відстань між полицями, нема підсвідки в морозильному відділенні"	uk
Холодильники	23791953	15499	14931374	5	"Зупинились на цьому холодильнику, дуже переживала щоб прийшов цілий та неушкоджений.Сьогодні отримали і все супер, чудовий холодильник , за таку якість не шкода віддати такі гроші.Колір також гарний. Samsung найкраща фірма
Достоинства:Вмісткий, вигляд та саме головне якість
Недостатки:Немає"	uk
Холодильники	22389889	15499	14931374	5	"Курєрська служба безоплатно доставила додому.Єдине ,що добре ,що уточнила ціну доставки від фіртки(а в кого підїзд то до квартири)до кухні.Така послуга коштувала окремо(50грн)І розрахунок при одержанні готівкою з копією паспорта!А, і ще одне,Сертифікат прийшов не одним номіналом 800грн,а 4 по 200.Власне це зазначив оператор при уточненні замовлення.
Щодо самої покупки я задоволена своїм вибором.Бо лише на Розетка такі додаткові послуги.В магазинах пропонували такий же холодильник без дисплею по тій же ціні ,але без сертифікатів і доставки .
Холодильник був надійно упакований.Колір такий як і на зображенні.Коли почав свою роботу був трошки шумний,але це не настільки суттєво в порівнянні зі старими холодильниками)))Зараз працює тихо.Запустила через 6 годин.Щоб напевно розійшовся хладогент)Хоча можна і 4 години почекати.По суті все зрозуміло і без інструкції ,але є дещо,чого не знала.Тому ""лишній"" раз перегляньте))
Достоинства:Вигідна пропозиція від розетки !Високий!Красивий дизайн
Недостатки:не виявила."	uk
Холодильники	20802042	15499	14931374	5	"Працює холодильник добре. Розчарування викликали подряпини всередині холодильника в трьох місцях, які я виявив після розпакування холодильника, проте вони не впливають на його функціональність.
Достоинства:Місткий, працює тихо. Купляв декілька тижнів тому, нарікань на роботу холодильника наразі нема.
Недостатки:Подряпини всередині холодильника на боковій стінці зверху, на задній стінці, подряпина на одному з прозорих лотків."	uk
Холодильники	20495800	15499	14931374	5	Купували у Розетці в кредит!Дякую,що даєте таку можливість людям безвідсотково розрахуватись,бо реально немаленька сума для такої необхідної покупки!Сервіс на висоті!!!Товар відмінний!!!І взагалі,усе,що я купую у Розетці,можна на НП не перевіряти))))-товар приходить завжди новий,справний,гарно запакований!!!!Холодильником дуууже задоволена-починаючи від зовнішнього вигляду,до роботи!!Живемо у приватному секторі,тому функція Вольтконтроль для мого холодильника дуже важлива!Відмінно холодить!!Відмінно заморожує і овочі,і фрукти!!!Нещодавно розморозила вишні-вони як свіжі!!!Рекомендую!!!!	uk
Холодильники	17703094	15499	14931374	4	Надійний!	uk
Холодильники	17629083	15499	14931374	5	"В мене вже три роки холодильник самсунг дуже подобається. Також всю техніку купую фірми самсунг пилосос, гаджети, тв....
Достоинства:дуже хороший холодильник найкраща фірма самсунг яка гарантує роботу своєї техніки на найвищому рівні
Недостатки:жодних недостатків немає, тиха робота та захист від збільшення напруги, дотикове наведення температури роботи...."	uk
Холодильники	15729525	15499	14931374	5	Користуюся холодильником близько місяця, усим задоволена, працює достатньо тихо.	uk
Холодильники	15650392	15499	14931374	5	Дуже хороший холодильник. Користуюся вже протягом 6 місяців і жодних недоліків не зауважив	uk
Холодильники	15619466	15499	14931374	5	"Дуже великий, об'м 350 л буде в нагоді для великої сім'ї. Клас А - вигідний для енергоспоживння. Ходильник добре заморожує і зберігає продукти
Достоинства:великй об'єм, тихий під час роботи
Недостатки:немає"	uk
Холодильники	15571866	15499	14931374	5	"Нещодавно я вирішив придбати новий холодильник,вибір припав на чудовий варіант Samsung RB33J3305SА. Цей варіант холодильника відразу привернув мою увагу, оскільки він дійсно найкращий.
Дизайн холодильника дуже красивий, вписується в будь-який інтер'єр.Розміри у нього стандартні, він займає правильне місце в будь-якому кутку на кухні. У нього електронний тип управління і цей факт теж тішить. На дверцятах розташовується сенсорний дисплей, де можна налаштувати холодильник, встановити час, спостерігати температуру, підключити сигналізацію і не тільки.
Мені подобається, що цей холодильник зовсім безшумний, якщо порівнювати його з нашим старим, то цей неймовірно тихий. Так само є деякі особливості в цьому холодильнику, це сигналізація, швидка заморозка, до речі обидві функції дуже добре працюють, перевірено вже не один раз.
Мені подобається його якість, адже вона у нього дійсно дуже гарна. Цей холодильник добре заморожує продукти, ідеально працює, та й прослужить не мало років.
Достоинства:Висока якість,тихий.
Недостатки:немає"	uk
Холодильники	15542984	15499	14931374	5	"Ціную час тому обираю зручний і надійний SAMSUNG.
Достоинства:Тихо працює"	uk
Холодильники	15499752	15499	14931374	5	"Ціна відповідає якості. Холодильник купується на років 5-10, а то і бльше, враховуючи вигідний кредит - однозначно хооший варіант, про котрий не пожалієш!
Достоинства:Вмісткий, тихий, сучасний!"	uk
Холодильники	15428373	15499	14931374	5	"Довго підбирала холодильник,щоб і ціна і характеристика влаштовувала. Ця модель повністю влаштувала.Його взагалі не чути,є система No Frost та зона свіжості. Дуже зручне електронне управління.
Достоинства:No Frost,Fresh Zone,дизайн
Недостатки:Не знайшла"	uk
Холодильники	15425125	15499	14931374	5	Холодильник просто супер! Вся сім'я користується холодильниками цієї фірми)	uk
Холодильники	15401514	15499	14931374	5	"Надійний бренд, добре тримає температуру та зручний в користуванні
Достоинства:Надійний бренд
Недостатки:-"	uk
Холодильники	15362608	15499	14931374	5	"Доволі тихий і досить надійний.
Достоинства:Надійний, гарний дизайн, продумай в середині.
Недостатки:Ціна"	uk
Холодильники	15358905	15499	14931374	5	"Користуемось даним холодильником більше року.При покупці були деякі вагання,немогли ніяк оприділитись з моделлю холодильника..але вибрали дану модель,і я дуже задоволена.Насамперед дуже подобаеться те,що як і в холодильнику так і в морозильній камері великий обєм,багато поміщаеться.Холодильник досить тихий,дуже рідко буваещо може щось застуати при включанні холодильника,але як зазначено в інструкціі виробниками,цей звук є допустимий.місяць назад розморожувала морозілку,все дуже простто...ніякоі води...ніяких ганчірок..тазіків..Найбільше що мене непокоіло,це своєрідний запах в морозилці..Спершу подумала що погано помила перед загрузкою,але спілкуючись з знайомими,а також шукала інформацію в інтернеті,цей запах є в у всіх нових холодильниках.Але при розморозці я помила декілька разів оцетом,і запах ще трішки є,проте не такоі концентраціі.Надіюсь після наступноі розморозки він зникне зовсім.Ще хочу відзначити камеру для мяса в холодильнику...Я дуже задоволена..Насамперед в ній значно нижча температура а ніж в самому холодильнику,і ще вона герметично закривається,це допомагае запаху мяса не розповсюджуватись по всьому холодильнику.Я дуже задоволена даною моделею.
Достоинства:Вмісткий,тихий,енергоефективний
Недостатки:немае)"	uk
Холодильники	15234018	15499	14931374	5	"Обираючи компанію Samsung, завжди потрібно пам'ятати, що це та річ, яка буде служити надійно та довго. А в разі потреби - в Україні є офіційні сервісні центри(на відміну від багатьох інших компаній). Цей холодильник відповідає параметрам ""ціна=якість"", і має великий ряд плюсів, які можна відчути при його використанні чи порівняні. Якщо Ви шукаєте дійсно хороший та надійний холодильник, Samsung - для Вас. Ця модель має дійсно велику місткість, але, разом з тим, не великі габарити. Особливості, такі як: Volt Control, економічність A++, приємна дрібниця - сигналізація відкритих дверей, - це речі, які не завжди присутні в моделях такої цінової категорії. Одним словом - раджу!
Достоинства:Гарантія 10 років, дизайн, якість, економічність(A++), велика місткість, висока функціональність, надійність(Volt Control).
Недостатки:-"	uk
Холодильники	15220942	15499	14931374	5	"Переїхавши у новий будинок ми придбали собі цей холодильник. До цього у нас був старий ""Днепр"" та вийшов із ладу.
Купівлею ЗАДОВОЛЕНІ.
Достоинства:Безшумний, споживає мало електроенергії.
Недостатки:Не знайшлося."	uk
Холодильники	15143249	15499	14931374	5	"#мояраспаковка
Холодильник саме той що я шукав, особливістю саме цієї серії є нульова камера, ну і загалом, срібний колір, безшумний режим, відключення на час поїздки і економрежим
Достоинства:Супер холодильник, саме те що шукав
Недостатки:наразі не знайшов"	uk
Холодильники	15122025	15499	14931374	5	"Беріть не пожалієте!)
Достоинства:Samsung це Samsung!!! купив даний холодильник всій сімї сподобався, поперше дизайн шикарний, вмістимість і полички з закаленного скла легко миється все на вищому рівні, дуже потішив режим суперзамораживания і система Volt Control, ну і звичайно тихий і енерго економний це великий +++
Недостатки:за 6 місяців пока немає"	uk
Холодильники	12460501	9999	21403530	5	Доброго дня! Підкажіть, будь ласка, а перший ящик в морозильній камері висувний? І скільки років гарантія? Дякую!	uk
Холодильники	19390371	9999	21403530	1	"В квітні 2017 був куплений холодильник BOSCH KGV36UW20. Холодильник турецької зборки. Не раджу його купувати!
Достоинства:швидка і безкоштовна доставка представником Розетки
Недостатки:1-й недолік металевих накладок на ручки не було - в Розеткі сказали, що вони не поставляються;
2-й недолік через два місяці на задній стінці холодильної камери почав утворюватися лід;
3-й недолік через два місяці компресор холодильника перестав виключатися
Звернувся в сервісний центр – прийшов майстер, сказав, що потрібно замінити модуль керування (плата). Цей модуль чекав три тижні! Після заміни модуля ситуація не змінилася: на задній стінці холодильної камери утворюється лід, компресор не виключається."	uk
